symbol,fiscaldate_end,reported_currency,gross_profit,total_revenue,costof_revenue,costof_goodservices_sold,operating_income,selling_gen_admin,research_dev,operating_expenses,investment_income_net,netInterestIncome,interest_income,interest_expense,noninterest_income,othernon_operatingincome,depreciation,dpr_and_amort,income_beforetax,incometax_expense,interest_debt_expense,netincome_cont_operations,comprehensive_income_netoftax,ebit,ebitda,netincome
BEAM,12/31/2019,USD,0,6000,0,0,-26371000,6160000,20217000,26377000,0,385000,504000,119000,0,0,1002000,0,-27850000,0,0,-27850000,-27882000,-26371000,0,-27850000
BEDU,5/31/2017,USD,68294000,275458000,207164000,207164000,18024000,88979000,0,-4111000,0,0,0,0,0,0,0,0,18665000,2773000,0,103442000,0,-22954000,0,15868000
BEKE,6/30/2020,CNY,4383230000,20548915000,16165685000,16165685000,3435050000,3675157000,523670000,16706609000,0,58486000,105005000,39926000,0,0,0,0,3620528000,781715000,0,2838813000,0,-149197000,0,2836568000
BETR,6/30/2015,USD,0,47354000,20612000,20612000,11935000,13687000,0,0,0,0,0,3058000,0,0,0,0,6634000,3074000,0,0,0,0,0,3560000
BE,6/30/2018,USD,26984000,138302000,111318000,136110000,-10955000,23613000,14413000,37939000,0,0,0,51189000,0,-855000,13162000,0,-55870000,128000,0,-50188000,-45575000,-10955000,0,-55998000
BGNE,12/31/2015,USD,-49434000,4677000,30635000,30635000,-56745000,7311000,28103000,65561000,0,0,0,389000,0,0,0,0,-57102000,0,0,-57102000,0,-56745000,0,-57102000
BHAT,6/30/2019,USD,2222834,3176565,953732,953732,1268818,857868,96148,1907748,0,-19451,32,18759,0,0,0,0,1143746,55447,0,1088299,0,1162505,0,1088299
BIGC,6/30/2020,USD,28479000,36316000,7837000,7837000,-7383000,24517000,11345000,35862000,0,-1135000,17000,1152000,0,40000,0,0,-8478000,3000,0,-8481000,-8481000,-7383000,0,-8481000
BILI,3/31/2018,USD,33927394.32,138206830.7,104279436.4,104279436.4,-11826446.94,28891171.09,16862670.17,150033277.6,0,0,0,0,0,0,0,0,-18760608.23,505373.78,0,-19265982.01,0,-11826446.94,0,-19114720.17
BIND,9/30/2013,USD,7630107,8660969,1030862,1030862,-18830000,9208057,16965000,26053237,0,0,0,736000,0,0,0,0,0,0,0,0,0,-16988851,0,-19586000
BJ,8/4/2018,USD,588503000,-3162546000,2718602000,2718600000,38674000,549188000,0,549800000,0,0,0,-40396000,0,0,0,41076000,-21005000,-15391000,59555000,-5490000,-5614000,38674000,79750000,-5614000
BLCT,6/30/2020,CNY,77182914,247439121,170256207,170256207,-5450987,51297668,31336233,252890108,0,1945683,1945683,0,0,0,0,0,-3505691,-155928,0,-3349763,0,-5450600,0,-3349763
BLOX,4/30/2012,USD,0,43424000,9460000,9460000,0,33373000,8987000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BL,9/30/2016,USD,24655000,32196000,7541000,7541000,-7167000,26735000,5087000,31822000,0,0,0,1294000,0,-1294000,0,4356000,-8461000,-1842000,0,-6619000,-6619000,-7167000,-2811000,-6619000
BNK,6/30/2014,USD,0,0,6687000,6687000,12680000,6032000,0,0,0,0,0,0,0,0,0,0,422000,192000,0,0,0,0,0,230000
BNNY,3/31/2012,USD,0,42984000,25576000,25576000,6152000,10989000,400000,0,0,0,0,95000,0,0,0,0,3591000,1662000,0,0,0,0,0,1929000
BNR,6/30/2020,CNY,78398000,106971000,28573000,28573000,-73042000,80264000,71176000,180013000,0,1983000,44000,-1939000,0,0,0,0,-71055000,0,0,-71055000,0,-72876000,0,-71055000
BNTX,9/30/2019,EUR,24432000,28662000,4230000,4230000,-36874000,11252000,50396000,65536000,0,6779000,7294000,433000,0,0,0,0,-30095000,8000,0,-30103000,0,-21170000,0,-30103000
BODY,9/30/2010,USD,0,56943000,38722000,38722000,2933000,14050000,0,0,0,0,0,0,0,0,0,0,2188000,845000,0,0,0,0,0,1343000
BOJA,3/31/2015,USD,21073000,114647000,93574000,90900000,9488000,10913000,0,11585000,0,0,0,2222000,0,1000,0,659000,7083000,3645000,0,3438000,3091000,9488000,10147000,3438000
BOLD,6/30/2016,USD,0,0,0,0,-24741000,13892000,11734000,0,0,0,0,0,0,0,0,0,0,0,0,-14159000,0,-14159000,0,-24623000
BONA,12/31/2010,USD,0,17835000,9200000,9200000,3191000,5444000,0,0,0,0,0,88000,0,0,0,0,3145000,0,0,0,0,0,0,3170000
BORR,6/30/2019,USD,54900000,86600000,31700000,31700000,-40500000,14000000,0,127100000,0,-28200000,200000,20100000,0,0,0,0,-100700000,2500000,0,-103200000,0,-24000000,0,-103200000
BPMP,9/30/2017,USD,23291000,27016000,6547000,6547000,18572000,1222000,0,8483000,0,0,0,-107000,0,0,0,0,18952000,7403000,0,11324000,0,17807000,0,11549000
BRACU,9/30/2017,USD,0,0,0,0,-195239,195239,0,0,0,0,0,0,0,0,0,0,-625,0,0,-625,0,0,0,-625
BRBR,9/30/2019,USD,76700000,214500000,137800000,137800000,36000000,35100000,0,178500000,0,0,0,-11600000,0,0,0,0,36000000,9300000,0,26700000,0,36000000,0,26700000
BRDR,3/31/2014,USD,0,26514000,19242000,19242000,0,7095000,1789000,0,0,0,0,0,0,0,0,0,0,53000,0,0,0,0,0,0
BXG,12/31/2017,USD,122055000,145543000,23488000,23488000,122445000,108455000,0,488242000,0,0,0,-38035000,0,0,0,0,29037000,-15558000,0,143377000,0,38786000,0,66469000
BYSI,3/31/2017,USD,0,0,0,0,-47791000,47785000,46747000,47791000,0,0,0,0,0,0,0,0,-47712000,0,0,-47712000,0,-47791000,0,-47396000
BY,6/30/2017,USD,72804000,72804000,7019000,7019000,43555000,29249000,0,29249000,0,0,0,-3504000,0,0,0,0,10240000,4094000,0,6146000,0,43555000,0,6146000
CAAP,12/31/2017,USD,136455000,416619000,280164000,280164000,87667000,32164000,0,1209069000,0,0,0,23163000,0,0,0,0,1416000,7092000,0,66891000,0,85252000,0,44470000
CABA,9/30/2019,USD,0,0,0,0,-5031000,1811000,3220000,5031000,0,381000,381000,0,0,0,0,0,-4650000,0,0,-4650000,0,-4999000,0,-4650000
CAFD,6/30/2015,USD,1927000,2179000,252000,252000,-3574000,4519000,0,5267000,0,0,0,1781000,0,-7175000,0,0,-10967000,103000,0,-11070000,0,-10749000,0,145000
CANG,6/30/2018,USD,155100000,236300000,81200000,81200000,10031870.88,78700000,1421927.86,83200000,0,0,0,-706708.01,0,0,0,0,13241396.07,3550865.48,0,9690530.59,0,112700000,0,9665809.09
CAN,12/31/2019,USD,-673429000,463247000,1136676000,1136676000,-800263000,62217000,63609000,127739000,0,398000,1793000,1395000,0,0,0,0,-798211000,0,0,-798211000,0,-795607000,0,-798211000
